r star_mass gas_mass dm_mass star_density gas_density dm_density
14.990050601338432 511469.4537984612 18895758.94867654 2571405018.099794 0.0 16951.400012089274 932059.6818480466
15.147005062199199 511469.4537984612 19123029.925571665 2585428474.517741 0.0 15214.518032697697 938801.8041562367
15.303959523059962 511469.4537984612 19330610.669097684 2598751743.6331124 0.0 13753.89980006498 882780.7586358297
15.46091398392073 511469.4537984612 19558426.598589115 2611597271.009863 0.0 14941.462271971726 842486.3757385865
15.617868444781493 511469.4537984612 19800717.621658016 2624004477.380845 0.0 15731.179548251548 805561.3050204907
15.77482290564226 511469.4537984612 20040007.721432798 2636609726.0049686 0.0 15381.811250940802 810276.99678179
15.931777366503024 511469.4537984612 20245653.37565667 2648803872.70077 0.0 13088.92659205626 776129.1639158735
16.088731827363787 511469.4537984612 20489408.08261369 2661169781.1611443 0.0 15363.189192960815 779383.5888196228
16.245686288224555 511469.4537984612 20714101.819388498 2673973072.038409 0.0 14025.053065240414 799154.6182069062
16.40264074908532 511469.4537984612 20938466.653118912 2686362445.22072 0.0 13870.560928332286 765919.351698374
16.559595209946085 511469.4537984612 21192991.92777678 2698257182.0646152 0.0 15586.032661640185 728371.2848193903
16.71654967080685 511469.4537984612 21422253.623140816 2709827167.1569138 0.0 13907.228446639736 701833.4440369591
16.873504131667616 511469.4537984612 21636572.7735334 2721353977.16085 0.0 12879.907741190973 692710.8037507444
17.030458592528383 511469.4537984612 21883036.14918065 2732714656.933478 0.0 14675.212681939167 676435.3348052773
17.187413053389147 511469.4537984612 22113764.774411898 2743956135.9186697 0.0 13612.898102388779 663225.8522694556
17.34436751424991 511469.4537984612 22359956.845156316 2754818424.9973726 0.0 14393.833526415452 635055.3676154764
17.501321975110677 511469.4537984612 22579165.458033256 2765587793.7772083 0.0 12701.3203687149 623976.576411175
17.65827643597144 511469.4537984612 22808812.935495086 2776389074.5788774 0.0 13187.93163256619 620263.214122953
17.815230896832205 511469.4537984612 23048180.92891994 2787039242.571277 0.0 13625.08214536564 606197.6756229107
17.97218535769297 511469.4537984612 23290273.133360673 2797378737.6452417 0.0 13659.839211175728 583375.0973580058
18.12913981855374 511469.4537984612 23544611.11969751 2807688197.8751283 0.0 14226.591030654132 576644.7623401347
18.286094279414502 511469.4537984612 23762463.861671433 2817957298.783284 0.0 12081.198466679893 569457.4302405447
18.443048740275266 511469.4537984612 24001066.832540404 2828415994.644685 0.0 13119.345896501874 575035.6746042023
18.600003201136033 511469.4537984612 24225916.365660027 2838794910.4515023 0.0 12258.83244246819 565834.0881310772
18.7569576619968 511469.4537984612 24494264.518165495 2848618181.642871 0.0 14507.995736221934 531060.5478193568
18.913912122857564 511469.4537984612 24730523.635469545 2858115762.493765 0.0 12667.16623761706 509192.6182170532
19.070866583718328 511469.4537984612 24951021.188733026 2867765394.7428055 0.0 11724.832348862225 513086.94165915746
19.227821044579095 511469.4537984612 25178820.195916157 2877208537.4388075 0.0 12014.233496445962 498009.08551456203
19.384775505439862 511469.4537984612 25433507.938941494 2886584101.7356334 0.0 13323.630595871393 490441.9167032253
19.541729966300625 511469.4537984612 25673341.20384495 2895867684.322469 0.0 12445.796952682986 481729.997287616
19.69868442716139 511469.4537984612 25905006.494689092 2904957917.600551 0.0 11926.17058711337 467938.79152106616
19.855638888022156 511469.4537984612 26135823.012927923 2913921441.3801775 0.0 11788.573168846746 457768.91751127626
20.012593348882923 511469.4537984612 26374842.06607368 2922853991.726848 0.0 12111.78948877269 452609.47285539703
20.169547809743683 511469.4537984612 26610687.779434636 2931711454.9633226 0.0 11858.012753996876 445312.4911883046
20.32650227060445 511469.4537984612 26857434.452975877 2940450656.001239 0.0 12310.328774596237 435974.3100568454
20.483456731465218 511469.4537984612 27095962.47156089 2949083796.4960036 0.0 11809.13388699578 427383.273053896
20.64041119232598 511469.4537984612 27302802.620002184 2957715059.8130136 0.0 10162.469928010905 424041.26253580104
20.797365653186745 511469.4537984612 27545015.74256567 2966096658.488622 0.0 11810.627931950883 408668.12708641763
20.954320114047512 511469.4537984612 27766607.780599453 2974493274.58627 0.0 10724.20436111959 406333.9299218431
21.11127457490828 511469.4537984612 28037752.479160067 2982957469.0830936 0.0 13024.828417081553 406559.0908397252
21.268229035769043 511469.4537984612 28248653.942773856 2991302462.792482 0.0 10056.212548833757 397875.6035624774
21.425183496629806 511469.4537984612 28455926.157355517 2999660596.7461543 0.0 9810.779966656379 395582.91777484026
21.582137957490573 511469.4537984612 28714346.598752983 3007941766.411876 0.0 12142.838111329973 389090.0239678825
21.73909241835134 511469.4537984612 28923884.520406086 3016445381.641553 0.0 9774.843753456224 396657.064217712
21.896046879212104 511469.4537984612 29170348.95142082 3025187398.4461017 0.0 11415.052759165246 404854.5694508024
22.053001340072868 511469.4537984612 29385019.13129034 3034145290.6924634 0.0 9871.750595071127 411899.6023509706
22.209955800933635 511469.4537984612 29599098.171710912 3042390793.980842 0.0 9775.013717949607 376463.4653740633
22.366910261794402 511469.4537984612 29825540.39359146 3050180143.0747814 0.0 10266.98870144561 353141.41258500994
22.523864722655166 511469.4537984612 30055459.530452505 3057703871.5164027 0.0 10352.008570269692 338722.303188105
22.68081918351593 511469.4537984612 30281443.80953328 3064894400.90653 0.0 10104.448972874492 321481.3881120707
22.837773644376696 511469.4537984612 30503989.468504243 3071796783.511281 0.0 9882.327157668835 306477.8427112568
22.99472810523746 511469.4537984612 30676535.819957677 3078614693.1170616 0.0 7609.77956611778 300660.85463666625
23.151682566098224 511469.4537984612 30880184.330670174 3085255209.4250045 0.0 8920.5977279143 290852.8506072533
